ticker,isin,exchange,name
AAPL,US0378331005,US,Apple Inc
MSFT,US5949181045,US,Microsoft Corp
NVDA,US67066G1040,US,NVIDIA Corp
GOOGL,US02079K3059,US,Alphabet Inc Class A
GOOG,US02079K1079,US,Alphabet Inc Class C
AMZN,US0231351067,US,Amazon.com Inc
BRK-B,US0846707026,US,Berkshire Hathaway Inc Class B
AVGO,US11135F1012,US,Broadcom Inc
META,US30303M1027,US,Meta Platforms Inc
TSLA,US88160R1014,US,Tesla Inc
JPM,US46625H1005,US,JPMorgan Chase & Co
UNH,US91324P1021,US,UnitedHealth Group Inc
XOM,US30231G1022,US,Exxon Mobil Corp
JNJ,US4781601046,US,Johnson & Johnson
V,US92826C8394,US,Visa Inc Class A
PG,US7427181091,US,Procter & Gamble Co
HD,US4370761029,US,Home Depot Inc
MA,US57636Q1040,US,Mastercard Inc
DIS,US2546871060,US,Walt Disney Co
BAC,US0605051046,US,Bank of America Corp
ADBE,US00724F1012,US,Adobe Inc
NFLX,US64110L1061,US,Netflix Inc
CRM,US79466L3024,US,Salesforce Inc
CSCO,US17275R1023,US,Cisco Systems Inc
PEP,US7134481081,US,PepsiCo Inc
KO,US1912161007,US,Coca-Cola Co
ABT,US00287Y1091,US,Abbott Laboratories
ACN,US03515E1065,US,Accenture plc Class A
WMT,US9311421039,US,Walmart Inc
MRK,US58933Y1055,US,Merck & Co Inc
ASML,NL0010273215,NA,ASML Holding NV
SAP,DE0007164600,GY,SAP SE
OR.PA,FR0000130270,FP,L'Oreal SA
SAN.PA,FR0000120578,FP,Sanofi SA
IWDA.AS,IE00B4L5Y983,NA,iShares Core MSCI World ETF
VWCE.DE,IE00BK5BQT80,GY,Vanguard FTSE All-World UCITS ETF
